Symbol,Buy Time,Buy Price,Sell Time,Sell Price,Profit per Share,ROC (%)
ADSK,2025-02-28 17:57:00,268.4649963378906,2025-02-28 21:00:00,274.21,5.7450036621093545,2.139945147589625
OPP^B,,,,,,
LFMD,2025-02-28 18:04:00,4.980000019073486,2025-02-28 18:53:00,5.059999942779541,0.07999992370605469,1.6064241646516784
TOST,2025-02-28 18:09:00,37.505001068115234,2025-02-28 19:46:00,38.060001373291016,0.5550003051757812,1.47980346452413
ALGN,2025-02-28 16:36:00,185.00999450683594,2025-02-28 20:44:00,185.99000549316406,0.980010986328125,0.5297070512003689
USAC,,,,,,
HSPOU,,,,,,
BMA,,,,,,
AGYS,2025-02-28 18:12:00,78.7344970703125,2025-02-28 21:00:00,80.99,2.255502929687495,2.864694655600907
TROO,,,,,,
DMAC,,,,,,
ICU,,,,,,
PTLE,,,,,,
TRNO,2025-02-28 17:51:00,67.37999725341797,2025-02-28 19:48:00,67.79499816894531,0.41500091552734375,0.6159111493675403
TTNP,,,,,,
LSTR,2025-02-28 18:03:00,157.11500549316406,2025-02-28 21:00:00,158.8,1.6849945068359489,1.0724593119205674
RELI,,,,,,
LSH,,,,,,
CLRCW,,,,,,
GRCE,,,,,,
HURA,2025-02-28 18:40:00,2.3450000286102295,2025-02-28 21:00:00,2.41,0.06499997138977065,2.7718537567904873
BUSE,,,,,,
WSR,,,,,,
PG,2025-02-28 15:30:00,172.58999633789062,2025-02-28 20:00:00,173.02999877929688,0.44000244140625,0.25494087185958836
HNW,,,,,,
KMDA,,,,,,
BCYC,,,,,,
JMSB,,,,,,
ENO,,,,,,
HFFG,,,,,,
NTGR,,,,,,
FPF,,,,,,
VLYPN,,,,,,
VHC,,,,,,
ANY,,,,,,
BYRN,,,,,,
WETH,,,,,,
OSUR,,,,,,
TBLAW,,,,,,
ARTV,,,,,,
HVII,,,,,,
NLY^I,,,,,,
STLA,2025-02-28 17:03:00,12.850000381469727,2025-02-28 21:00:00,12.72,-0.13000038146972592,-1.0116760903539916
CHR,,,,,,
RLGT,,,,,,
DFLIW,,,,,,
RPD,2025-02-28 16:41:00,28.9950008392334,2025-02-28 19:53:00,28.909299850463867,-0.08570098876953125,-0.29557160299705343
FMAO,,,,,,
CFFI,,,,,,
SLAB,,,,,,
RSVR,,,,,,
PFC,2025-02-28 18:30:00,27.799999237060547,2025-02-28 21:00:00,28.04,0.24000076293945227,0.8633121205971261
TMC,,,,,,
RYAN,2025-02-28 17:51:00,68.79000091552734,2025-02-28 19:26:00,69.0999984741211,0.30999755859375,0.45064334128214417
PCAR,,,,,,
CTS,2025-02-28 18:29:00,44.15999984741211,2025-02-28 21:00:00,44.66,0.5000001525878872,1.1322467262580584
COF^J,,,,,,
UMBFP,,,,,,
IVT,,,,,,
BNZIW,,,,,,
XOS,,,,,,
ZYME,,,,,,
APGE,2025-02-28 18:06:00,30.420000076293945,2025-02-28 21:00:00,32.73,2.3099999237060516,7.593688093072082
EIM,,,,,,
EFSC,,,,,,
QSIAW,,,,,,
LTBR,2025-02-28 16:33:00,10.797200202941895,2025-02-28 18:50:00,10.779899597167969,-0.01730060577392578,-0.16023233290804328
SMBK,,,,,,
ONBPO,,,,,,
MMM,,,,,,
CMU,,,,,,
CCM,,,,,,
PET,,,,,,
GVA,,,,,,
FRSH,2025-02-28 17:55:00,16.895000457763672,2025-02-28 21:00:00,17.06,0.16499954223632685,0.9766175659409673
IMAB,,,,,,
IRMD,,,,,,
RQI,,,,,,
DAVEW,,,,,,
GBTG,2025-02-28 17:12:00,8.119999885559082,2025-02-28 18:46:00,8.154999732971191,0.034999847412109375,0.4310326096722543
AGRI,,,,,,
ACR^C,,,,,,
HYMC,,,,,,
CREV,,,,,,
AVXL,2025-02-28 18:00:00,7.880000114440918,2025-02-28 21:00:00,7.91,0.029999885559082173,0.3807092020735415
CLDT^A,,,,,,
WDFC,,,,,,
ENFY,,,,,,
NAZ,,,,,,
ARES,2025-02-28 17:14:00,168.0399932861328,2025-02-28 21:00:00,170.94,2.9000067138671852,1.7257836406415181
CASH,,,,,,
BETRW,,,,,,
IIPR,2025-02-28 18:02:00,72.30000305175781,2025-02-28 21:00:00,71.95,-0.35000305175780966,-0.48409825309032284
FTF,2025-02-28 19:07:00,6.539999961853027,2025-02-28 21:00:00,6.55,0.010000038146972479,0.152905782955679
AWF,,,,,,
MMU,2025-02-28 17:27:00,10.470000267028809,2025-02-28 21:00:00,10.52,0.04999973297119098,0.47755235621765624
WSBC,2025-02-28 18:27:00,34.7599983215332,2025-02-28 21:00:00,35.07,0.31000167846679716,0.8918345610930498
ELLO,,,,,,
WLDSW,,,,,,
MNDO,,,,,,
AAM,,,,,,
TSE,,,,,,
UNMA,,,,,,
ABNB,2025-02-28 18:10:00,138.53759765625,2025-02-28 19:52:00,138.6699981689453,0.1324005126953125,0.0955700942814345
SNN,2025-02-28 15:24:00,28.8700008392334,2025-02-28 20:22:00,28.969999313354492,0.09999847412109375,0.34637503018427024
FACTU,,,,,,
ENVX,2025-02-28 18:07:00,8.595000267028809,2025-02-28 20:00:00,8.8100004196167,0.21500015258789062,2.501456031509975
CTOS,,,,,,
HAL,2025-02-28 18:01:00,26.010000228881836,2025-02-28 18:54:00,26.360000610351562,0.35000038146972656,1.345637748519055
FSUN,,,,,,
PRE,,,,,,
BRBR,2025-02-28 18:06:00,71.18000030517578,2025-02-28 19:58:00,72.38999938964844,1.2099990844726562,1.6999144131566863
CARG,2025-02-28 18:08:00,31.399999618530273,2025-02-28 19:56:00,31.81999969482422,0.4200000762939453,1.337579877058623
GAINZ,,,,,,
